productId,skuId,name,brand,top,category,bracket,price
1003168178,1003044980,LEGO - Speed Champions - Honda S2000 de 2 Fast 2 Furious - 77241,LEGO,BRINQUEDOS,BLOCOS DE MONTAR,9-12,249.99
1003128126,1003002974,Boneca Articulada - Emilly Vick - Rosa - Novabrink,Novabrink,BONECOS E BONECAS,BONECAS,3-5,155.99
1003099631,1002968482,Lousa Mágica Magnética - Desenha Comigo - Sortida - Fisher Price,Mattel,BABY,BRINQUEDOS PARA BEBES,3-5,39.95
1002969987,1002835548,Pelucia - Minnie - C luz e Som - Vestido Rosa - Multikids,Multikids,BRINQUEDOS,PELUCIAS,0-2,175.99
1003169919,1003046904,Pista De Percurso - Hot Wheels - Loja De Doces - City - Mattel,Mattel,BRINQUEDOS,VEICULOS DE BRINQUEDO,3-5,105.99
1003265465,1003151993,Boneco Articulado - Disney - Pixar - Toy Story 5 - Modelos Unitários - Sortidos - Mattel,Mattel,BONECOS E BONECAS,BONECOS,3-5,138.99
1003272300,1003159339,Jogo De Cartas - Pokémon TCG - ME04 - Blister Triplo - Copag,Copag,JOGOS,JOGOS DE CARTAS,6-8,49.99
1003263930,1003150375,Jogo De Tabuleiro - Monopoly - FIFA - Copa Do Mundo - Hasbro,SEM LICENÇA,JOGOS,JOGOS DE TABULEIRO,6-8,149.91
1003181781,1003059823,Boneco Funko Pop - Harry Potter - Harry No Quadribol - Candide,Candide,COLECIONAVEIS,FUNKO POP,9-12,149.99
1002962051,1002827778,Topper Unitário - Patrulha Canina - Skye - Estrela,Estrela,COLECIONAVEIS,ACTION FIGURE,0-2,29.91
1003168981,1003045916,Blocos De Montar - Mattel - 90 Acura NSX,Mattel,COLECIONAVEIS,CARRINHOS COLECIONAVEIS,9-12,399.99
1002437896,1002312605,Triciclo Infantil - Europa - Bandeirante - Vermelho,Bandeirante,BABY,MINI VEICULOS,0-2,268.99
1003140816,1003017287,Teclado Musical Com Mordedor - Disney Baby - Yestoys,Yes Toys,BABY,MORDEDORES,0-2,46.99
1002934504,1002800242,Conjunto de Massa de Modelar - Play-Doh - Smoothies Coloridos - Playset - 5 Potes - Hasbro,Hasbro,BRINQUEDOS,ARTES,3-5,79.99
1002826929,1002693667,Jogo De Chá - 18 Peças - Fanfun,FanFun,BRINQUEDOS,BRINCADEIRA DE CASINHA,3-5,111.99
100127437,100127301,Caixa Registradora - Creative Fun - Rosa - Multikids,Multikids,BRINQUEDOS,FAZ DE CONTA,unknown,175.99
1002883943,1002750567,Brinquedo Musical - Patrulha Canina - Boombox Karaokê - Candide,Candide,BRINQUEDOS,INSTRUMENTOS MUSICAIS,3-5,135.99
1002502951,1002376756,Lançador de Água - Nerf Super Soaker - Torrent - Capacidade 236ml - Hasbro,Hasbro,BRINQUEDOS,LANCADORES,6-8,69.99
1002921802,1002787831,Quebra-Cabeça - 1500 Peças - Pôr do Sol em Praga - Grow,Grow,BRINQUEDOS,QUEBRA-CABECAS,13+,78.99
1003177824,1003055395,Minigame Portátil - Marvel - Homem-Aranha - Candide,Candide,BRINQUEDOS,BRINQUEDOS ELETRONICOS,6-8,66.99
1002300221,1002176470,Conjunto - Cabelos Rainbow - Giz Colorido - Fanfun,FanFun,BRINQUEDOS,BRINQUEDOS DE BELEZA,6-8,145.99
1001883344,100291506,Veículo de Controle Remoto - Barbie - Glamour Flip - Modelos Sortidos - Candide,Candide,BONECOS E BONECAS,ACESSORIOS PARA BONECAS,3-5,106.99
1003168984,1003045919,Playset E Mini Bonecas - Polly Pocket - Estojo Gabby'S Dollhouse - Mattel,Mattel,BONECOS E BONECAS,CASA DE BONECA,3-5,202.99
1002938304,1002804178,Jogo de Ação - Cai Não Cai - Tetris - Estrela,Estrela,JOGOS,JOGOS DE ACAO,6-8,49.99
